ts,mAmps
2018-07-08T20:30:14-03:00,237
2018-07-08T20:30:14-03:00,264
2018-07-08T20:30:14-03:00,264
2018-07-08T20:30:14-03:00,237
2018-07-08T20:30:14-03:00,237
2018-07-08T20:30:15-03:00,264
2018-07-08T20:30:15-03:00,237
2018-07-08T20:30:15-03:00,291
2018-07-08T20:30:15-03:00,291
2018-07-08T20:30:15-03:00,264
2018-07-08T20:30:15-03:00,318
2018-07-08T20:30:15-03:00,264
2018-07-08T20:30:15-03:00,318
2018-07-08T20:30:15-03:00,237
2018-07-08T20:30:15-03:00,216
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,237
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,237
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,237
2018-07-08T20:30:16-03:00,291
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,291
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:18-03:00,291
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,216
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,237
2018-07-08T20:30:18-03:00,237
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,264
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:20-03:00,291
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:20-03:00,291
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:21-03:00,237
2018-07-08T20:30:21-03:00,318
2018-07-08T20:30:21-03:00,291
2018-07-08T20:30:21-03:00,237
2018-07-08T20:30:21-03:00,264
2018-07-08T20:30:21-03:00,291
2018-07-08T20:30:21-03:00,264
2018-07-08T20:30:21-03:00,264
2018-07-08T20:30:21-03:00,216
2018-07-08T20:30:21-03:00,237
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,291
2018-07-08T20:30:22-03:00,237
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,291
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,237
2018-07-08T20:30:22-03:00,237
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,291
2018-07-08T20:30:23-03:00,264
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,264
2018-07-08T20:30:23-03:00,264
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,291
2018-07-08T20:30:24-03:00,291
2018-07-08T20:30:24-03:00,237
2018-07-08T20:30:24-03:00,264
2018-07-08T20:30:24-03:00,291
2018-07-08T20:30:24-03:00,237
2018-07-08T20:30:24-03:00,264
2018-07-08T20:30:24-03:00,264
2018-07-08T20:30:24-03:00,291
2018-07-08T20:30:24-03:00,291
2018-07-08T20:30:25-03:00,264
2018-07-08T20:30:25-03:00,264
2018-07-08T20:30:25-03:00,291
2018-07-08T20:30:25-03:00,264
2018-07-08T20:30:25-03:00,264
2018-07-08T20:30:25-03:00,264
2018-07-08T20:30:25-03:00,291
2018-07-08T20:30:25-03:00,237
2018-07-08T20:30:25-03:00,264
2018-07-08T20:30:25-03:00,264
2018-07-08T20:30:26-03:00,264
2018-07-08T20:30:26-03:00,264
2018-07-08T20:30:26-03:00,264
2018-07-08T20:30:26-03:00,237
2018-07-08T20:30:26-03:00,264
2018-07-08T20:30:26-03:00,237
2018-07-08T20:30:26-03:00,237
2018-07-08T20:30:26-03:00,264
2018-07-08T20:30:26-03:00,264
2018-07-08T20:30:26-03:00,237
2018-07-08T20:30:27-03:00,264
2018-07-08T20:30:27-03:00,264
2018-07-08T20:30:27-03:00,264
2018-07-08T20:30:27-03:00,237
2018-07-08T20:30:27-03:00,237
2018-07-08T20:30:27-03:00,237
2018-07-08T20:30:27-03:00,264
2018-07-08T20:30:27-03:00,264
2018-07-08T20:30:27-03:00,264
2018-07-08T20:30:27-03:00,264
2018-07-08T20:30:28-03:00,291
2018-07-08T20:30:28-03:00,264
2018-07-08T20:30:28-03:00,264
2018-07-08T20:30:28-03:00,264
2018-07-08T20:30:28-03:00,237
2018-07-08T20:30:28-03:00,264
2018-07-08T20:30:28-03:00,237
2018-07-08T20:30:28-03:00,237
2018-07-08T20:30:28-03:00,264
2018-07-08T20:30:28-03:00,264
2018-07-08T20:30:29-03:00,264
2018-07-08T20:30:29-03:00,237
2018-07-08T20:30:29-03:00,237
2018-07-08T20:30:29-03:00,264
2018-07-08T20:30:29-03:00,237
2018-07-08T20:30:29-03:00,216
2018-07-08T20:30:29-03:00,291
2018-07-08T20:30:29-03:00,291
2018-07-08T20:30:29-03:00,237
2018-07-08T20:30:29-03:00,264
2018-07-08T20:30:30-03:00,237
2018-07-08T20:30:30-03:00,237
2018-07-08T20:30:30-03:00,264
2018-07-08T20:30:30-03:00,237
2018-07-08T20:30:30-03:00,237
2018-07-08T20:30:30-03:00,291
2018-07-08T20:30:30-03:00,264
2018-07-08T20:30:30-03:00,291
2018-07-08T20:30:30-03:00,264
2018-07-08T20:30:30-03:00,264
2018-07-08T20:30:31-03:00,264
2018-07-08T20:30:31-03:00,237
2018-07-08T20:30:31-03:00,264
2018-07-08T20:30:31-03:00,264
2018-07-08T20:30:31-03:00,264
2018-07-08T20:30:31-03:00,264
2018-07-08T20:30:31-03:00,291
2018-07-08T20:30:31-03:00,264
2018-07-08T20:30:31-03:00,237
2018-07-08T20:30:31-03:00,291
2018-07-08T20:30:32-03:00,264
2018-07-08T20:30:32-03:00,237
2018-07-08T20:30:32-03:00,291
2018-07-08T20:30:32-03:00,237
2018-07-08T20:30:32-03:00,291
2018-07-08T20:30:32-03:00,291
2018-07-08T20:30:32-03:00,264
2018-07-08T20:30:32-03:00,264
2018-07-08T20:30:32-03:00,264
2018-07-08T20:30:32-03:00,237
2018-07-08T20:30:33-03:00,264
2018-07-08T20:30:33-03:00,237
2018-07-08T20:30:33-03:00,264
2018-07-08T20:30:33-03:00,264
2018-07-08T20:30:33-03:00,264
2018-07-08T20:30:33-03:00,237
2018-07-08T20:30:33-03:00,237
2018-07-08T20:30:33-03:00,291
2018-07-08T20:30:33-03:00,237
2018-07-08T20:30:33-03:00,237
2018-07-08T20:30:34-03:00,237
2018-07-08T20:30:34-03:00,237
2018-07-08T20:30:34-03:00,264
2018-07-08T20:30:34-03:00,291
2018-07-08T20:30:34-03:00,264
2018-07-08T20:30:34-03:00,237
2018-07-08T20:30:34-03:00,264
2018-07-08T20:30:34-03:00,237
2018-07-08T20:30:34-03:00,216
2018-07-08T20:30:34-03:00,237
2018-07-08T20:30:35-03:00,237
2018-07-08T20:30:35-03:00,216
2018-07-08T20:30:35-03:00,237
2018-07-08T20:30:35-03:00,237
2018-07-08T20:30:35-03:00,237
2018-07-08T20:30:35-03:00,237
2018-07-08T20:30:35-03:00,264
2018-07-08T20:30:35-03:00,264
2018-07-08T20:30:35-03:00,216
2018-07-08T20:30:35-03:00,291
2018-07-08T20:30:36-03:00,264
2018-07-08T20:30:36-03:00,264
2018-07-08T20:30:36-03:00,237
2018-07-08T20:30:36-03:00,264
2018-07-08T20:30:36-03:00,237
2018-07-08T20:30:36-03:00,264
2018-07-08T20:30:36-03:00,264
2018-07-08T20:30:36-03:00,345
2018-07-08T20:30:36-03:00,291
2018-07-08T20:30:36-03:00,237
2018-07-08T20:30:37-03:00,264
2018-07-08T20:30:37-03:00,291
2018-07-08T20:30:37-03:00,264
2018-07-08T20:30:37-03:00,264
2018-07-08T20:30:37-03:00,237
2018-07-08T20:30:37-03:00,237
2018-07-08T20:30:37-03:00,237
2018-07-08T20:30:37-03:00,291
2018-07-08T20:30:37-03:00,264
2018-07-08T20:30:37-03:00,264
2018-07-08T20:30:38-03:00,264
2018-07-08T20:30:38-03:00,264
2018-07-08T20:30:38-03:00,237
2018-07-08T20:30:38-03:00,264
2018-07-08T20:30:38-03:00,264
2018-07-08T20:30:38-03:00,237
2018-07-08T20:30:38-03:00,291
2018-07-08T20:30:38-03:00,291
2018-07-08T20:30:38-03:00,264
2018-07-08T20:30:38-03:00,264
2018-07-08T20:30:39-03:00,237
2018-07-08T20:30:39-03:00,237
2018-07-08T20:30:39-03:00,237
2018-07-08T20:30:39-03:00,264
2018-07-08T20:30:39-03:00,264
2018-07-08T20:30:39-03:00,264
2018-07-08T20:30:39-03:00,291
2018-07-08T20:30:39-03:00,291
2018-07-08T20:30:39-03:00,237
2018-07-08T20:30:39-03:00,264
2018-07-08T20:30:40-03:00,237
2018-07-08T20:30:40-03:00,237
2018-07-08T20:30:40-03:00,264
2018-07-08T20:30:40-03:00,237
2018-07-08T20:30:40-03:00,264
2018-07-08T20:30:40-03:00,264
2018-07-08T20:30:40-03:00,264
2018-07-08T20:30:40-03:00,237
2018-07-08T20:30:40-03:00,264
2018-07-08T20:30:40-03:00,264
2018-07-08T20:30:41-03:00,237
2018-07-08T20:30:41-03:00,291
2018-07-08T20:30:41-03:00,264
2018-07-08T20:30:41-03:00,264
2018-07-08T20:30:41-03:00,291
2018-07-08T20:30:41-03:00,264
2018-07-08T20:30:41-03:00,264
2018-07-08T20:30:41-03:00,345
2018-07-08T20:30:41-03:00,372
2018-07-08T20:30:41-03:00,264
2018-07-08T20:30:42-03:00,291
2018-07-08T20:30:42-03:00,237
2018-07-08T20:30:42-03:00,264
2018-07-08T20:30:42-03:00,237
2018-07-08T20:30:42-03:00,264
2018-07-08T20:30:42-03:00,237
2018-07-08T20:30:42-03:00,237
2018-07-08T20:30:42-03:00,237
2018-07-08T20:30:42-03:00,264
2018-07-08T20:30:42-03:00,264
2018-07-08T20:30:43-03:00,237
2018-07-08T20:30:43-03:00,237
2018-07-08T20:30:43-03:00,216
2018-07-08T20:30:43-03:00,237
2018-07-08T20:30:43-03:00,291
2018-07-08T20:30:43-03:00,264
2018-07-08T20:30:43-03:00,264
2018-07-08T20:30:43-03:00,237
2018-07-08T20:30:43-03:00,237
2018-07-08T20:30:43-03:00,291
2018-07-08T20:30:44-03:00,264
2018-07-08T20:30:44-03:00,264
2018-07-08T20:30:44-03:00,237
2018-07-08T20:30:44-03:00,237
2018-07-08T20:30:44-03:00,237
2018-07-08T20:30:44-03:00,237
2018-07-08T20:30:44-03:00,264
2018-07-08T20:30:44-03:00,291
2018-07-08T20:30:44-03:00,264
2018-07-08T20:30:44-03:00,237
2018-07-08T20:30:45-03:00,237
2018-07-08T20:30:45-03:00,237
2018-07-08T20:30:45-03:00,216
2018-07-08T20:30:45-03:00,237
2018-07-08T20:30:45-03:00,237
2018-07-08T20:30:45-03:00,264
2018-07-08T20:30:45-03:00,264
2018-07-08T20:30:45-03:00,264
2018-07-08T20:30:45-03:00,318
2018-07-08T20:30:45-03:00,291
2018-07-08T20:30:46-03:00,291
2018-07-08T20:30:46-03:00,264
2018-07-08T20:30:46-03:00,291
2018-07-08T20:30:46-03:00,318
2018-07-08T20:30:46-03:00,318
2018-07-08T20:30:46-03:00,291
2018-07-08T20:30:46-03:00,291
2018-07-08T20:30:46-03:00,291
2018-07-08T20:30:46-03:00,318
2018-07-08T20:30:46-03:00,291
2018-07-08T20:30:47-03:00,318
2018-07-08T20:30:47-03:00,291
2018-07-08T20:30:47-03:00,318
2018-07-08T20:30:47-03:00,291
2018-07-08T20:30:47-03:00,318
2018-07-08T20:30:47-03:00,291
2018-07-08T20:30:47-03:00,291
2018-07-08T20:30:47-03:00,318
2018-07-08T20:30:47-03:00,264
2018-07-08T20:30:47-03:00,318
2018-07-08T20:30:48-03:00,291
2018-07-08T20:30:48-03:00,291
2018-07-08T20:30:48-03:00,318
2018-07-08T20:30:48-03:00,264
2018-07-08T20:30:48-03:00,237
2018-07-08T20:30:48-03:00,318
2018-07-08T20:30:48-03:00,264
2018-07-08T20:30:48-03:00,291
2018-07-08T20:30:48-03:00,291
2018-07-08T20:30:48-03:00,291
2018-07-08T20:30:49-03:00,291
2018-07-08T20:30:49-03:00,264
2018-07-08T20:30:49-03:00,291
2018-07-08T20:30:49-03:00,318
2018-07-08T20:30:49-03:00,318
2018-07-08T20:30:49-03:00,318
2018-07-08T20:30:49-03:00,291
2018-07-08T20:30:49-03:00,264
2018-07-08T20:30:49-03:00,291
2018-07-08T20:30:49-03:00,291
2018-07-08T20:30:50-03:00,264
2018-07-08T20:30:50-03:00,291
2018-07-08T20:30:50-03:00,345
2018-07-08T20:30:50-03:00,318
2018-07-08T20:30:50-03:00,291
2018-07-08T20:30:50-03:00,291
2018-07-08T20:30:50-03:00,264
2018-07-08T20:30:50-03:00,318
2018-07-08T20:30:50-03:00,291
2018-07-08T20:30:50-03:00,291
2018-07-08T20:30:51-03:00,291
2018-07-08T20:30:51-03:00,264
2018-07-08T20:30:51-03:00,264
2018-07-08T20:30:51-03:00,264
2018-07-08T20:30:51-03:00,345
2018-07-08T20:30:51-03:00,318
2018-07-08T20:30:51-03:00,318
2018-07-08T20:30:51-03:00,318
2018-07-08T20:30:51-03:00,318
2018-07-08T20:30:51-03:00,318
2018-07-08T20:30:52-03:00,318
2018-07-08T20:30:52-03:00,264
2018-07-08T20:30:52-03:00,318
2018-07-08T20:30:52-03:00,318
2018-07-08T20:30:52-03:00,291
2018-07-08T20:30:52-03:00,291
2018-07-08T20:30:52-03:00,345
2018-07-08T20:30:52-03:00,318
2018-07-08T20:30:52-03:00,318
2018-07-08T20:30:52-03:00,318
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:53-03:00,264
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:53-03:00,264
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:53-03:00,291
2018-07-08T20:30:54-03:00,318
2018-07-08T20:30:54-03:00,291
2018-07-08T20:30:54-03:00,291
2018-07-08T20:30:54-03:00,318
2018-07-08T20:30:54-03:00,291
2018-07-08T20:30:54-03:00,264
2018-07-08T20:30:54-03:00,291
2018-07-08T20:30:54-03:00,291
2018-07-08T20:30:54-03:00,264
2018-07-08T20:30:54-03:00,291
2018-07-08T20:30:55-03:00,291
2018-07-08T20:30:55-03:00,291
2018-07-08T20:30:55-03:00,291
2018-07-08T20:30:55-03:00,318
2018-07-08T20:30:55-03:00,291
2018-07-08T20:30:55-03:00,318
2018-07-08T20:30:55-03:00,318
2018-07-08T20:30:55-03:00,291
2018-07-08T20:30:55-03:00,291
2018-07-08T20:30:55-03:00,291
2018-07-08T20:30:56-03:00,291
2018-07-08T20:30:56-03:00,291
2018-07-08T20:30:56-03:00,264
2018-07-08T20:30:56-03:00,291
2018-07-08T20:30:56-03:00,345
2018-07-08T20:30:56-03:00,291
2018-07-08T20:30:56-03:00,264
2018-07-08T20:30:56-03:00,264
2018-07-08T20:30:56-03:00,291
2018-07-08T20:30:57-03:00,264
2018-07-08T20:30:57-03:00,291
2018-07-08T20:30:57-03:00,318
2018-07-08T20:30:57-03:00,291
2018-07-08T20:30:57-03:00,291
2018-07-08T20:30:57-03:00,291
2018-07-08T20:30:57-03:00,291
2018-07-08T20:30:57-03:00,264
2018-07-08T20:30:57-03:00,318
2018-07-08T20:30:57-03:00,291
2018-07-08T20:30:58-03:00,318
2018-07-08T20:30:58-03:00,291
2018-07-08T20:30:58-03:00,318
2018-07-08T20:30:58-03:00,291
2018-07-08T20:30:58-03:00,291
2018-07-08T20:30:58-03:00,291
2018-07-08T20:30:58-03:00,264
2018-07-08T20:30:58-03:00,291
2018-07-08T20:30:58-03:00,291
2018-07-08T20:30:58-03:00,318
2018-07-08T20:30:59-03:00,291
2018-07-08T20:30:59-03:00,318
2018-07-08T20:30:59-03:00,264
2018-07-08T20:30:59-03:00,291
2018-07-08T20:30:59-03:00,291
2018-07-08T20:30:59-03:00,291
2018-07-08T20:30:59-03:00,264
2018-07-08T20:30:59-03:00,318
2018-07-08T20:30:59-03:00,291
2018-07-08T20:30:59-03:00,291
2018-07-08T20:31:00-03:00,318
2018-07-08T20:31:00-03:00,318
2018-07-08T20:31:00-03:00,318
2018-07-08T20:31:00-03:00,264
2018-07-08T20:31:00-03:00,318
2018-07-08T20:31:00-03:00,291
2018-07-08T20:31:00-03:00,345
2018-07-08T20:31:00-03:00,264
2018-07-08T20:31:00-03:00,291
2018-07-08T20:31:00-03:00,318
2018-07-08T20:31:01-03:00,318
2018-07-08T20:31:01-03:00,318
2018-07-08T20:31:01-03:00,291
2018-07-08T20:31:01-03:00,291
2018-07-08T20:31:01-03:00,291
2018-07-08T20:31:01-03:00,318
2018-07-08T20:31:01-03:00,264
2018-07-08T20:31:01-03:00,318
2018-07-08T20:31:01-03:00,291
2018-07-08T20:31:01-03:00,318
2018-07-08T20:31:02-03:00,318
2018-07-08T20:31:02-03:00,318
2018-07-08T20:31:02-03:00,318
2018-07-08T20:31:02-03:00,318
2018-07-08T20:31:02-03:00,291
2018-07-08T20:31:02-03:00,318
2018-07-08T20:31:02-03:00,291
2018-07-08T20:31:02-03:00,318
2018-07-08T20:31:02-03:00,291
2018-07-08T20:31:02-03:00,264
2018-07-08T20:31:03-03:00,264
2018-07-08T20:31:03-03:00,318
2018-07-08T20:31:03-03:00,291
2018-07-08T20:31:03-03:00,291
2018-07-08T20:31:03-03:00,264
2018-07-08T20:31:03-03:00,291
2018-07-08T20:31:03-03:00,291
2018-07-08T20:31:03-03:00,264
2018-07-08T20:31:03-03:00,318
2018-07-08T20:31:03-03:00,291
2018-07-08T20:31:04-03:00,264
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,264
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,318
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:05-03:00,318
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,345
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,318
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,318
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,264
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:07-03:00,291
2018-07-08T20:31:07-03:00,264
2018-07-08T20:31:07-03:00,318
2018-07-08T20:31:07-03:00,264
2018-07-08T20:31:07-03:00,291
2018-07-08T20:31:07-03:00,264
2018-07-08T20:31:07-03:00,318
2018-07-08T20:31:07-03:00,318
2018-07-08T20:31:07-03:00,345
2018-07-08T20:31:07-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,264
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,318
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:09-03:00,264
2018-07-08T20:31:09-03:00,318
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,264
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,318
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,318
2018-07-08T20:31:09-03:00,264
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,318
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,264
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,318
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:11-03:00,318
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:12-03:00,291
2018-07-08T20:31:12-03:00,318
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,291
2018-07-08T20:31:12-03:00,318
2018-07-08T20:31:12-03:00,291
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:13-03:00,237
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,264
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,345
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:16-03:00,237
2018-07-08T20:31:16-03:00,318
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,216
2018-07-08T20:31:16-03:00,237
2018-07-08T20:31:16-03:00,237
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:17-03:00,216
2018-07-08T20:31:17-03:00,264
2018-07-08T20:31:17-03:00,237
